Time,Busy UPFs
1786215.0,30
1786246.0,30
1786317.0,30
1786381.0,31
1786493.0,31
1786525.0,31
1786841.0,31
1786941.0,31
1787068.0,31
1787101.0,31
1787107.0,31
1787218.0,31
1787329.0,31
1787458.0,30
1787476.0,30
1787570.0,30
1787852.0,30
1787896.0,30
1788077.0,30
1788136.0,30
1788163.0,30
1788251.0,30
1788257.0,30
1788261.0,30
1788388.0,30
1788477.0,30
1788523.0,30
1788555.0,30
1788622.0,30
1788630.0,30
1788644.0,30
1788702.0,30
1788785.0,30
1788873.0,30
1788975.0,30
1789305.0,30
1789313.0,30
1789520.0,30
1789915.0,29
1789967.0,29
1790051.0,29
1790103.0,29
1790229.0,29
1790242.0,28
1790282.0,28
1790309.0,28
1790396.0,28
1790743.0,28
1790811.0,28
1790869.0,28
1790938.0,28
1790974.0,28
1791039.0,28
1791186.0,28
1791188.0,28
1791245.0,28
1791265.0,28
1791329.0,28
1791428.0,28
1791551.0,28
1791565.0,28
1791572.0,28
1791735.0,28
1791963.0,28
1792151.0,28
1792382.0,28
1792391.0,28
1792397.0,29
1792435.0,29
1792623.0,29
1792762.0,29
1792809.0,29
1792828.0,29
1792844.0,29
1792845.0,29
1792872.0,29
1792886.0,29
1792894.0,29
1793198.0,29
1793226.0,29
1793229.0,29
1793350.0,29
1793443.0,29
1793444.0,29
1793573.0,29
1793634.0,29
1793662.0,29
1793788.0,29
1793798.0,29
1793800.0,29
1794287.0,29
1794388.0,29
1794551.0,29
1794585.0,29
1794609.0,29
1794646.0,29
1794680.0,29
1794740.0,29
1794746.0,29
1794860.0,29
1794945.0,29
1794969.0,29
1795044.0,29
1795084.0,29
1795112.0,29
1795119.0,29
1795313.0,29
1795594.0,29
1795674.0,29
1795688.0,29
1795896.0,29
1795900.0,28
1796018.0,28
1796026.0,28
1796058.0,28
1796149.0,27
1796187.0,27
1796343.0,27
1796495.0,27
1796541.0,27
1796595.0,27
1796635.0,27
1796724.0,27
1796860.0,27
1796991.0,27
1797024.0,27
1797078.0,27
1797153.0,27
1797205.0,27
1797305.0,27
1797478.0,27
1797514.0,27
1797526.0,27
1797570.0,27
1797648.0,27
1797708.0,27
1797724.0,27
1797803.0,27
1797931.0,28
1798021.0,28
1798143.0,28
1798165.0,28
1798318.0,28
1798324.0,28
1798493.0,28
1798616.0,28
